2022-10-08 20:52:17 - __main__     - Tweet 38 of 78 posted: Sometimes, there's no better thing than a lie in.
2022-10-08 21:28:47 - __main__     - Tweet 66 of 78 posted: Spotted a black cat out of the window. It's probably thinking about purrgatory.
2022-10-08 21:28:48 - __main__     - Tweet 38 of 78 posted: I wonder whose idea was it to call bras 'over the shoulder boulder holders'.
2022-10-08 21:28:50 - __main__     - Tweet 68 of 78 posted: What in the fresh fuck is this Barbie thing?
2022-10-08 21:28:51 - __main__     - Tweet 70 of 78 posted: When the weather app says it's going to rain and then it doesn't. Ugh...
2022-10-08 21:28:52 - __main__     - Tweet 45 of 78 posted: It's frustrating when you're in a hurry and things don't go to plan.
2022-10-08 21:28:53 - __main__     - Tweet 57 of 78 posted: I just saw Emma Stone's portrayal of Cruella and all I can say is that I want to be in her arms.
2022-10-08 21:28:54 - __main__     - Tweet 23 of 78 posted: Still waiting on that full moon.
2022-10-08 21:28:55 - __main__     - Tweet 50 of 78 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:28:56 - __main__     - Tweet 36 of 78 posted: There's nothing worse than a bad internet connection, especially when I'm trying to game.
2022-10-08 21:28:57 - __main__     - Conditional Tweet 3 of 4 posted: Halloween's not for another year. Still, another year closer to the cold embrace of death.
2022-10-08 21:28:57 - __main__     - Tweet 4 of 78 posted: I can't wait for October.
2022-10-08 21:34:13 - __main__     - Tweet 44 of 78 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-08 21:34:18 - __main__     - Tweet 65 of 78 posted: I want a lie in.
2022-10-08 21:34:20 - __main__     - Tweet 49 of 78 posted: Those clouds had better not be mushroom shaped. I enjoy the macarbe, but not that.
2022-10-08 21:34:23 - __main__     - Tweet 14 of 78 posted: What's worse than Camp Chippewa? A printer, according to some man whose comment I overheard the other day.
2022-10-08 21:34:24 - __main__     - Tweet 20 of 78 posted: You severely underestimate my apathy.
2022-10-08 21:42:08 - __main__     - Tweet 63 of 78 posted: Could you imagine if Uncle Fester went to an anime convention? They'd say One Punch Man let himself go.
2022-10-08 21:42:36 - __main__     - Conditional Tweet 2 of 4 posted: It's Halloween. Finally.
2022-10-08 21:42:50 - __main__     - Tweet 50 of 78 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:42:52 - __main__     - Tweet 17 of 78 posted: Cats are homicidal furballs.
2022-10-08 21:42:53 - __main__     - Tweet 30 of 78 posted: Who's that off-brand Uncle Fester playing at in the East?
2022-10-08 21:42:55 - __main__     - Tweet 62 of 78 posted: A friend of mine told me I should cosplay as Sailor Saturn. I'll give it some thought. She's my favourite sailor scout, after all.
2022-10-08 21:42:55 - __main__     - Tweet 38 of 78 posted: I wonder whose idea was it to call bras 'over the shoulder boulder holders'.
2022-10-08 21:42:56 - __main__     - Tweet 72 of 78 posted: I like Fridays too.
2022-10-08 21:43:02 - __main__     - Tweet 20 of 78 posted: You severely underestimate my apathy.
2022-10-08 21:43:02 - __main__     - Tweet 62 of 78 posted: A friend of mine told me I should cosplay as Sailor Saturn. I'll give it some thought. She's my favourite sailor scout, after all.
2022-10-08 21:43:03 - __main__     - Tweet 10 of 78 posted: This Voldemort fellow looks as though Uncle Fester forgot his nose.
2022-10-08 21:43:04 - __main__     - Tweet 23 of 78 posted: Still waiting on that full moon.
2022-10-08 21:43:05 - __main__     - Tweet 53 of 78 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:43:06 - __main__     - Tweet 25 of 78 posted: 'Wednesday's child is full of woe.' Sounds about right.
2022-10-08 21:43:06 - __main__     - Tweet 7 of 78 posted: Woe to the Republic.
2022-10-08 21:43:07 - __main__     - Tweet 78 of 78 posted: I've had the same song stuck in my head for the last two days...
2022-10-08 21:43:08 - __main__     - Tweet 52 of 78 posted: Sometimes I just want to sleep after a long day.
2022-10-08 21:43:09 - __main__     - Tweet 19 of 78 posted: I'll stop wearing black when they make a darker color.
2022-10-08 21:43:10 - __main__     - Tweet 9 of 78 posted: Ah, what I would not give for Karen Gillan to look me in the eye and say 'Cara mia'.
2022-10-08 21:43:11 - __main__     - Tweet 12 of 78 posted: I am not perky.
2022-10-08 21:43:12 - __main__     - Tweet 55 of 78 posted: I sometimes wish I was in the Townsend Agency. Someone should make fanfiction of that, come to think of it. The Addams Family x 2019 Charlie's Angels would be an interesting combination
2022-10-08 21:43:13 - __main__     - Tweet 47 of 78 posted: I can hear that counterfeit Uncle Fester shitting bricks after what I've been hearing.
2022-10-08 21:43:13 - __main__     - Tweet 5 of 78 posted: Where's a thunderstorm when you need one?
2022-10-08 21:43:14 - __main__     - Tweet 12 of 78 posted: I am not perky.
2022-10-08 21:43:16 - __main__     - Tweet 50 of 78 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:43:17 - __main__     - Tweet 70 of 78 posted: When the weather app says it's going to rain and then it doesn't. Ugh...
2022-10-08 21:43:18 - __main__     - Tweet 52 of 78 posted: Sometimes I just want to sleep after a long day.
2022-10-08 21:43:19 - __main__     - Tweet 20 of 78 posted: You severely underestimate my apathy.
2022-10-08 21:43:20 - __main__     - Tweet 53 of 78 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:43:21 - __main__     - Tweet 63 of 78 posted: Could you imagine if Uncle Fester went to an anime convention? They'd say One Punch Man let himself go.
2022-10-08 21:43:22 - __main__     - Tweet 60 of 78 posted: I'm still getting over Debbie's choice to use pastels. Like, seriously?
2022-10-08 21:43:23 - __main__     - Tweet 34 of 78 posted: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-08 21:43:23 - __main__     - Tweet 14 of 78 posted: What's worse than Camp Chippewa? A printer, according to some man whose comment I overheard the other day.
2022-10-08 21:43:24 - __main__     - Tweet 36 of 78 posted: There's nothing worse than a bad internet connection, especially when I'm trying to game.
2022-10-08 21:43:25 - __main__     - Tweet 66 of 78 posted: Spotted a black cat out of the window. It's probably thinking about purrgatory.
2022-10-08 21:43:26 - __main__     - Tweet 16 of 78 posted: Sailor Saturn? I like her.
2022-10-08 21:43:27 - __main__     - Tweet 76 of 78 posted: I think Jenna Ortega will do well as Wednesday.
2022-10-08 21:43:28 - __main__     - Tweet 71 of 78 posted: A litle but of sudden rain is nice.
2022-10-08 21:43:29 - __main__     - Tweet 54 of 78 posted: Got a 1 in 7 of posting this on the right day, but thank goth it's Wednesday.
2022-10-08 21:43:30 - __main__     - Tweet 17 of 78 posted: Cats are homicidal furballs.
2022-10-08 21:43:31 - __main__     - Tweet 45 of 78 posted: It's frustrating when you're in a hurry and things don't go to plan.
2022-10-08 21:44:02 - __main__     - Tweet 30 of 78 posted: Who's that off-brand Uncle Fester playing at in the East?
2022-10-08 21:44:03 - __main__     - Tweet 42 of 78 posted: I can't tell whether it's going to rain or not some days.
2022-10-08 21:44:04 - __main__     - Tweet 53 of 78 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:44:04 - __main__     - Tweet 40 of 78 posted: Sometimes, there's no better thing than a lie in.
2022-10-08 21:44:05 - __main__     - Tweet 42 of 78 posted: I can't tell whether it's going to rain or not some days.
2022-10-08 21:44:06 - __main__     - Tweet 57 of 78 posted: I just saw Emma Stone's portrayal of Cruella and all I can say is that I want to be in her arms.
2022-10-08 21:44:07 - __main__     - Tweet 27 of 78 posted: Okay, I admit it. I like Billie Eilish.
2022-10-08 21:44:08 - __main__     - Tweet 66 of 78 posted: Spotted a black cat out of the window. It's probably thinking about purrgatory.
2022-10-08 21:44:09 - __main__     - Tweet 62 of 78 posted: A friend of mine told me I should cosplay as Sailor Saturn. I'll give it some thought. She's my favourite sailor scout, after all.
2022-10-08 21:44:09 - __main__     - Tweet 75 of 78 posted: Why did they choose November 23rd? I'd've released it on October 31st. Halloween's a much better date.
2022-10-08 21:44:10 - __main__     - Tweet 54 of 78 posted: Got a 1 in 7 of posting this on the right day, but thank goth it's Wednesday.
2022-10-08 21:44:11 - __main__     - Conditional Tweet 3 of 4 posted: Halloween's not for another year. Still, another year closer to the cold embrace of death.
2022-10-08 21:44:16 - __main__     - Tweet 17 of 78 posted: Cats are homicidal furballs.
2022-10-08 21:44:18 - __main__     - Tweet 37 of 78 posted: I sometimes find myself drinkng tea as much as Captain Janeway drinks coffee.
2022-10-08 21:44:19 - __main__     - Tweet 24 of 78 posted: I heard someone saying that Thing used to be Luke Skywalker's hand. I'm not so sure about that yet.
2022-10-08 21:44:20 - __main__     - Tweet 53 of 78 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:44:21 - __main__     - Tweet 29 of 78 posted: Okay, I admit it, I am officially gay for Ella Balinska. I liked that one part of the quarry scene and I didn't blame Sabina for covering her eyes. None of them seem the macabre type.
2022-10-08 21:44:21 - __main__     - Tweet 65 of 78 posted: I want a lie in.
2022-10-08 21:44:23 - __main__     - Tweet 34 of 78 posted: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-08 21:44:24 - __main__     - Tweet 65 of 78 posted: I want a lie in.
2022-10-08 21:44:25 - __main__     - Tweet 72 of 78 posted: I like Fridays too.
2022-10-08 21:44:26 - __main__     - Tweet 59 of 78 posted: I overheard someone saying that some company's headquarters was their version of hell. I can only assume they work in tech support, so it's fortunate I don't bother with printers. Sounds like more trouble than they're worth.
2022-10-08 21:44:27 - __main__     - Tweet 45 of 78 posted: It's frustrating when you're in a hurry and things don't go to plan.
2022-10-08 21:44:28 - __main__     - Tweet 12 of 78 posted: I am not perky.
2022-10-08 21:44:29 - __main__     - Tweet 44 of 78 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-08 21:44:29 - __main__     - Tweet 49 of 78 posted: Those clouds had better not be mushroom shaped. I enjoy the macarbe, but not that.
2022-10-08 21:44:31 - __main__     - Tweet 44 of 78 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-08 21:44:32 - __main__     - Tweet 70 of 78 posted: When the weather app says it's going to rain and then it doesn't. Ugh...
2022-10-08 21:44:33 - __main__     - Tweet 75 of 78 posted: Why did they choose November 23rd? I'd've released it on October 31st. Halloween's a much better date.
2022-10-08 21:44:34 - __main__     - Tweet 34 of 78 posted: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-08 21:44:35 - __main__     - Tweet 48 of 78 posted: ./wednesday-addams.sh? Do they think I'm emotionless like Data? I'll gladly have a cat, however.
2022-10-08 21:44:36 - __main__     - Tweet 44 of 78 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-08 21:44:37 - __main__     - Tweet 47 of 78 posted: I can hear that counterfeit Uncle Fester shitting bricks after what I've been hearing.
2022-10-08 21:44:38 - __main__     - Tweet 7 of 78 posted: Woe to the Republic.
2022-10-08 21:44:39 - __main__     - Tweet 69 of 78 posted: I forget to sleep sometimes, and I always end up paying for it the next day, moreso if I rise early.
2022-10-08 21:44:40 - __main__     - Tweet 58 of 78 posted: Being normal is boring.
2022-10-08 21:44:41 - __main__     - Tweet 44 of 78 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-08 21:44:41 - __main__     - Tweet 12 of 78 posted: I am not perky.
2022-10-08 21:44:42 - __main__     - Tweet 50 of 78 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:44:43 - __main__     - Tweet 73 of 78 posted: I tried to upgrade my computer once but it hung at the wrong moment. The end result was a catastophe that required reinstalling the operating system and half a day of recovery. My plans for sleeping were fucked.
2022-10-08 21:44:44 - __main__     - Tweet 36 of 78 posted: There's nothing worse than a bad internet connection, especially when I'm trying to game.
2022-10-08 21:44:46 - __main__     - Tweet 58 of 78 posted: Being normal is boring.
2022-10-08 21:44:47 - __main__     - Tweet 48 of 78 posted: ./wednesday-addams.sh? Do they think I'm emotionless like Data? I'll gladly have a cat, however.
2022-10-08 21:44:48 - __main__     - Tweet 7 of 78 posted: Woe to the Republic.
2022-10-08 21:44:52 - __main__     - Tweet 53 of 78 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:44:53 - __main__     - Tweet 48 of 78 posted: ./wednesday-addams.sh? Do they think I'm emotionless like Data? I'll gladly have a cat, however.
2022-10-08 21:44:57 - __main__     - Tweet 27 of 78 posted: Okay, I admit it. I like Billie Eilish.
2022-10-08 21:44:58 - __main__     - Tweet 40 of 78 posted: Sometimes, there's no better thing than a lie in.
2022-10-08 21:45:00 - __main__     - Tweet 41 of 78 posted: I want nothing more than to just chill on some days. Today seems to be one of them.
2022-10-08 21:45:03 - __main__     - Tweet 5 of 78 posted: Where's a thunderstorm when you need one?
2022-10-08 21:45:05 - __main__     - Tweet 41 of 78 posted: I want nothing more than to just chill on some days. Today seems to be one of them.
2022-10-08 21:45:06 - __main__     - Tweet 10 of 78 posted: This Voldemort fellow looks as though Uncle Fester forgot his nose.
2022-10-08 21:45:07 - __main__     - Tweet 17 of 78 posted: Cats are homicidal furballs.
2022-10-08 21:45:07 - __main__     - Tweet 55 of 78 posted: I sometimes wish I was in the Townsend Agency. Someone should make fanfiction of that, come to think of it. The Addams Family x 2019 Charlie's Angels would be an interesting combination
2022-10-08 21:45:08 - __main__     - Tweet 69 of 78 posted: I forget to sleep sometimes, and I always end up paying for it the next day, moreso if I rise early.
2022-10-08 21:45:09 - __main__     - Tweet 38 of 78 posted: I wonder whose idea was it to call bras 'over the shoulder boulder holders'.
2022-10-08 21:45:11 - __main__     - Tweet 60 of 78 posted: I'm still getting over Debbie's choice to use pastels. Like, seriously?
2022-10-08 21:45:12 - __main__     - Tweet 24 of 78 posted: I heard someone saying that Thing used to be Luke Skywalker's hand. I'm not so sure about that yet.
2022-10-08 21:45:13 - __main__     - Tweet 20 of 78 posted: You severely underestimate my apathy.
2022-10-08 21:45:14 - __main__     - Tweet 71 of 78 posted: A litle but of sudden rain is nice.
2022-10-08 21:45:15 - __main__     - Tweet 67 of 78 posted: I doubt Father could handle a trip to France. I can hear "Tish, that's French!" from half an acre away.
2022-10-08 21:45:15 - __main__     - Tweet 6 of 78 posted: There's nothing better than a peaceful night.
2022-10-08 21:45:17 - __main__     - Tweet 13 of 78 posted: A spider is a girl's best friend.
2022-10-08 21:45:17 - __main__     - Tweet 9 of 78 posted: Ah, what I would not give for Karen Gillan to look me in the eye and say 'Cara mia'.
2022-10-08 21:45:18 - __main__     - Tweet 74 of 78 posted: I think I'm the most prepared in the Addams clan.
2022-10-08 21:45:19 - __main__     - Tweet 67 of 78 posted: I doubt Father could handle a trip to France. I can hear "Tish, that's French!" from half an acre away.
2022-10-08 21:45:20 - __main__     - Tweet 56 of 78 posted: Tea is the only thing keeping me awake sometimes.
2022-10-08 21:45:21 - __main__     - Tweet 32 of 78 posted: Have you ever lied there thinking about something and the next thing you know it's the next morning? Only caffeine and the works of Poe sustain me from then on.
2022-10-08 21:45:22 - __main__     - Tweet 25 of 78 posted: 'Wednesday's child is full of woe.' Sounds about right.
2022-10-08 21:45:23 - __main__     - Tweet 57 of 78 posted: I just saw Emma Stone's portrayal of Cruella and all I can say is that I want to be in her arms.
2022-10-08 21:45:24 - __main__     - Tweet 41 of 78 posted: I want nothing more than to just chill on some days. Today seems to be one of them.
2022-10-08 21:45:25 - __main__     - Tweet 41 of 78 posted: I want nothing more than to just chill on some days. Today seems to be one of them.
2022-10-08 21:45:25 - __main__     - Tweet 16 of 78 posted: Sailor Saturn? I like her.
2022-10-08 21:45:26 - __main__     - Tweet 40 of 78 posted: Sometimes, there's no better thing than a lie in.
2022-10-08 21:45:27 - __main__     - Tweet 72 of 78 posted: I like Fridays too.
2022-10-08 21:45:28 - __main__     - Tweet 28 of 78 posted: That moment when you look at Karen Gillan and you feel the last vestiges of your heterosexuality disappearing. Yes. Mother noticed.
2022-10-08 21:45:29 - __main__     - Tweet 53 of 78 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:45:30 - __main__     - Tweet 66 of 78 posted: Spotted a black cat out of the window. It's probably thinking about purrgatory.
2022-10-08 21:45:31 - __main__     - Tweet 77 of 78 posted: A wig from a bargain store and a pinafore is not an ideal cosplay, though kudos for the effort at least.
2022-10-08 21:45:32 - __main__     - Tweet 49 of 78 posted: Those clouds had better not be mushroom shaped. I enjoy the macarbe, but not that.
2022-10-08 21:45:33 - __main__     - Tweet 47 of 78 posted: I can hear that counterfeit Uncle Fester shitting bricks after what I've been hearing.
2022-10-08 21:45:33 - __main__     - Tweet 62 of 78 posted: A friend of mine told me I should cosplay as Sailor Saturn. I'll give it some thought. She's my favourite sailor scout, after all.
2022-10-08 21:45:34 - __main__     - Tweet 58 of 78 posted: Being normal is boring.
2022-10-08 21:45:35 - __main__     - Tweet 42 of 78 posted: I can't tell whether it's going to rain or not some days.
2022-10-08 21:45:36 - __main__     - Conditional Tweet 2 of 4 posted: It's Halloween. Finally.
2022-10-08 21:45:38 - __main__     - Tweet 62 of 78 posted: A friend of mine told me I should cosplay as Sailor Saturn. I'll give it some thought. She's my favourite sailor scout, after all.
2022-10-08 21:45:39 - __main__     - Tweet 14 of 78 posted: What's worse than Camp Chippewa? A printer, according to some man whose comment I overheard the other day.
2022-10-08 21:45:40 - __main__     - Tweet 76 of 78 posted: I think Jenna Ortega will do well as Wednesday.
2022-10-08 21:45:41 - __main__     - Conditional Tweet 2 of 4 posted: It's Halloween. Finally.
2022-10-08 21:45:44 - __main__     - Tweet 22 of 78 posted: Damn, Lestrange. You could've picked a man with a nose at least.
2022-10-08 21:45:45 - __main__     - Tweet 7 of 78 posted: Woe to the Republic.
2022-10-08 21:45:46 - __main__     - Tweet 48 of 78 posted: ./wednesday-addams.sh? Do they think I'm emotionless like Data? I'll gladly have a cat, however.
2022-10-08 21:45:47 - __main__     - Tweet 32 of 78 posted: Have you ever lied there thinking about something and the next thing you know it's the next morning? Only caffeine and the works of Poe sustain me from then on.
2022-10-08 21:45:48 - __main__     - Tweet 59 of 78 posted: I overheard someone saying that some company's headquarters was their version of hell. I can only assume they work in tech support, so it's fortunate I don't bother with printers. Sounds like more trouble than they're worth.
2022-10-08 21:45:54 - __main__     - Tweet 52 of 78 posted: Sometimes I just want to sleep after a long day.
2022-10-08 21:45:56 - __main__     - Tweet 34 of 78 posted: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-08 21:45:58 - __main__     - Tweet 11 of 78 posted: Remind me to ask Cousin Itt if that's a relative of his next to Han Solo.
2022-10-08 21:45:59 - __main__     - Tweet 50 of 78 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:46:00 - __main__     - Tweet 8 of 78 posted: I can't tell of there's a thunderstorm coming or Pugsley's had beans again.
2022-10-08 21:46:01 - __main__     - Tweet 56 of 78 posted: Tea is the only thing keeping me awake sometimes.
2022-10-08 21:46:02 - __main__     - Tweet 51 of 78 posted: Gay and tired? That sounds like me in the evenings.
2022-10-08 21:46:03 - __main__     - Tweet 6 of 78 posted: There's nothing better than a peaceful night.
2022-10-08 21:46:04 - __main__     - Conditional Tweet 4 of 4 posted: October. The best month of all.
2022-10-08 22:29:41 - __main__     - Tweet 66 of 81 posted: I want a lie in.
2022-10-09 14:38:34 - __main__     - Tweet 7 of 82 posted: There's nothing better than a peaceful night.
2022-10-13 17:38:03 - __main__     - Tweet 52 of 87 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-13 17:38:17 - __main__     - Tweet 16 of 87 posted: What's worse than Camp Chippewa? A printer, according to some man whose comment I overheard the other day.
2022-10-13 17:38:19 - __main__     - Tweet 36 of 87 posted: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-13 17:38:20 - __main__     - Tweet 27 of 87 posted: 'Wednesday's child is full of woe.' Sounds about right.
2022-10-13 17:38:21 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:38:21 - __main__     - Tweet 46 of 87 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-13 17:38:24 - __main__     - Tweet 46 of 87 posted: Man, those two at Camp Chippewa were the Gary, Indiana of people.
2022-10-13 17:38:25 - __main__     - Tweet 40 of 87 posted: I wonder whose idea was it to call bras 'over the shoulder boulder holders'.
